PID,Product Name,Packet Size,PackSize
839,INDIAN CHEF PANEER 5KG*****,FRESH PANEER,1
3306,NVF PANEER - 5KG X 1,NOFPANEER,1
3496,HARDIN MANGO NECTAR - HAR 2.1L X 6,HADIN JUICES,6
3497,HARDIN GUAVA NECTAR (PINK) - HAR 2.1L X 6,HADIN JUICES,6
3498,HARDIN MIXED FRUIT NECTAR - HAR 2.1L X 6,HADIN JUICES,6
558,MATTA RICE - INDIAN CHEF 10KG X 1,RICE MATTA,1
1253,MATTA RICE - INDIAN CHEF 10KG X 1,RICE MATTA,1
3456,POHA MEDIUM WHITE - NTY 500G. X 20,NITYA - POHA,20
3457,POHA THIN WHITE - NTY 400G. X 20,NITYA - POHA,20
3458,PUFFED RICE - NTY 400G. X 20,NITYA - PUFFED RICE,20
3483,JAGGERY POWDER - NTY 750G. X 12,NITYA - COMMODITIES,12
3459,BESAN -NTY 750G. X 16,NITYA - FLOUR,16
3397,TAMARIND DESEEDED - NTY 200G. X 15,NITYA - COMMODITIES,15
3346,GRATED COCONUT - NTY 400G. X 24,NITYA - FROZEN VEGETABLES,24
3347,TAPIOCA SLICED - NTY 900G. X 14,NITYA - FROZEN VEGETABLES,14
3348,TAPIOCA WHOLE - NTY 900G. X 15,NITYA - FROZEN VEGETABLES,15
3399,PEARL MILLETS -NTY 1KG. X 20,NITYA - MILLETS,20
3482,NITYA SESAME  OIL - NTY  1LTR. X 12,NITYA - EDIBLE OILS,12
3485,NITYA COCONUT OIL - NTY 900ML. X 12,NITYA - EDIBLE OILS,12
3493,NITYA MUSTARD OIL - NTY 1LTR. X 12,NITYA - EDIBLE OILS,12
3494,NITYA GROUNDNUT OIL - NITYA 1LTR. X 12,NITYA - EDIBLE OILS,12
3357,MALABAR PAROTTA - NTY 350G. X 24,NITYA - FRZN PARATHA,24
3358,WHEAT PAROTTA - NTY 350G. X 24,NITYA - FRZN PARATHA,24
3486,PAPAD PLAIN - 4 INCHES - NTY 200G. X 5,NITYA - PAPAD,5
3460,MOONG DAL SPLIT YELLOW - NTY 2KG. X 8,NITYA - PULSES,8
3461,MOONG DAL SPLIT YELLOW - NTY 1KG. X 16,NITYA - PULSES,16
3462,TOOR DAL - NTY 2KG. X 8,NITYA - PULSES,8
3463,TOOR DAL - NTY 1KG. X 16,NITYA - PULSES,16
3464,URAD DAL SPLIT - NTY 2KG. X 8,NITYA - PULSES,8
3465,URAD DAL SPLIT - NTY 1KG. X 16,NITYA - PULSES,16
3466,URAD DAL GOTA - NTY 2KG. X 8,NITYA - PULSES,8
3467,URAD DAL GOTA - NTY 1KG. X 16,NITYA - PULSES,16
3468,MASOOR DAL SPLIT - NTY 2KG. X 8,NITYA - PULSES,8
3469,MASOOR DAL SPLIT - NTY 1KG. X 16,NITYA - PULSES,16
3470,KABULI CHANA - NTY 2KG. X 8,NITYA - PULSES,8
3471,KABULI CHANA - NTY 1KG. X 16,NITYA - PULSES,16
3472,CHANA DAL - NTY 2KG. X 8,NITYA - PULSES,8
3473,CHANA DAL - NTY 1KG. X 16,NITYA - PULSES,16
3474,KALA CHANA - NTY 1KG. X 16,NITYA - PULSES,16
3475,BLACK EYE BEANS - NTY 1KG. X 16,NITYA - PULSES,16
3476,RED KIDNEY BEANS - NTY 1KG. X 16,NITYA - PULSES,16
3030,SONA MASOORI RICE - NTY 5KG. X 4,NITYA SONAMASOORI,4
3031,SONA MASOORI RICE - NTY 10KG. X 2,NITYA SONAMASOORI,2
3032,SONA MASOORI RICE - NTY 20KG. X 1,NITYA SONAMASOORI,1
